ID,底本/出典,史料名,記述内容,記述場所,場所（町、寺名、場所データ）,年月日（作成）,年月日（作成）和,年月日（被害）,年月日（被害）和,伝聞・体験,被害種別,X,Y,備考,
1,新収日本地震史料第2巻,万天日録　二,"五月大朔日癸　四月廿二日節酉　八日中
一、五月朔日大地震朽木兵部少輔於江州居所横死于時八十四歳",,滋賀・朽木,,,1662/06/16,寛文2/05/01,伝聞,人的被害,135.9209156,35.35676617,国立公文書館、、緯度経度は朽木陣屋跡,
2,新収日本地震史料第2巻,万天日録　二,,,,,,,,,,,,『玉露叢』と同内容を含む,
3,新収日本地震史料第2巻,三浦家家乗,"寛文二年五月
朔日癸酉午時地動暫不止、今日京師大地震商屋多顚倒人民悉出家而居路頭、",和歌山ヵ,京都,,,1662/06/16,寛文2/05/01,伝聞,建物被害,135.7681095,35.0116707,"和歌山の記録
緯度経度は便宜的に京都市役所地点",
4,新収日本地震史料第2巻,三浦家家乗,"寛文二年五月
朔日（中略）五条之橋天王子之華表丹州亀山之城皆崩壊云、",和歌山ヵ,五条大橋,,,1662/06/16,寛文2/05/01,伝聞,建物被害,135.7678522,34.99544216,"三浦家文書、和歌山大学紀州経済史文化史研究所
",
,新収日本地震史料第2巻,三浦家家乗,"寛文二年五月
朔日（中略）五条之橋天王子之華表丹州亀山之城皆崩壊云、",和歌山ヵ,四天王寺石鳥居ヵ,,,1662/06/16,寛文2/05/01,伝聞,建物被害,135.5168869,34.65377197,"「天王子之華表」ヵ
緯度経度は四天王寺",
6,新収日本地震史料第2巻,三浦家家乗,"寛文二年五月
朔日（中略）五条之橋天王子之華表丹州亀山之城皆崩壊云、",和歌山ヵ,亀山城,,,1662/06/16,寛文2/05/01,伝聞,建物被害,135.583267,35.012676,緯度経度は亀山城跡,
7,新収日本地震史料第2巻,京師大地震例,主上暫御仮殿依大地震五社伊勢・石清水・賀茂・春日・日吉并延暦寺済師法東寺不動御修法等有御祈,京都,京都御所,,,,,,避難,135.7623566,35.02629297,"国立公文書館、皇年代記異本
緯度経度は便宜的に現・京都御所地点",
8,新収日本地震史料第2巻,京都帝国大学所蔵文書,"寛文二五月一日
一、くらま本堂無別義、寺中かけつくりの分皆くつれ申候也",京都ヵ,鞍馬寺ヵ,,,1662/06/16,寛文2/05/01,伝聞ヵ,建物被害,135.7707811,35.11976705,狩野亨吉氏蒐集文書　十六、,
9,新収日本地震史料第2巻,京都帝国大学所蔵文書,一、あたこ本社無別義、奥端之残ろうか皆、寺たうろ皆くつる、寺中東かハ福寿院長床坊くつる,京都ヵ,愛宕神社,,,1662/06/16,寛文2/05/01,伝聞ヵ,建物被害,135.6343943,35.06217378,狩野亨吉氏蒐集文書　十六、,
10,新収日本地震史料第2巻,京都帝国大学所蔵文書,一、五条の橋五間落、らんかん皆落,京都ヵ,五条大橋,,,1662/06/16,寛文2/05/01,伝聞ヵ,建物被害,135.7678522,34.99544216,狩野亨吉氏蒐集文書　十六、,
